date,product,sku,quantity,category,cost_price,selling_price
2023-08-05,Argentina Corned Beef 175g,CAN-ACB-175,6,Canned Goods,45.00,55.00
2023-08-05,Century Tuna Flakes in Oil,CAN-CTF-155,4,Canned Goods,38.00,48.00
2023-08-05,Nescafé 3-in-1 Original,BEV-N3N-01,9,Beverages,5.00,7.00
2023-08-05,San Miguel Pale Pilsen 330ml,BEV-SMB-330,7,Beverages,50.00,65.00
2023-08-05,Coca-Cola 1.5L,BEV-CCR-15L,10,Beverages,55.00,70.00
2023-08-05,Milo Powdered Drink 33g Sachet,BEV-MIL-33,15,Beverages,6.00,9.00
2023-08-05,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,14,Beverages,6.00,9.00
2023-08-05,Sky Flakes Crackers,SNK-SKF-01,12,Snacks,8.00,12.00
2023-08-05,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-05,Surf Detergent Powder 65g,HSH-SRF-65,6,Household,6.00,9.00
2023-08-05,Safeguard Soap 90g,BDY-SFG-90,7,Body Care,22.00,30.00
2023-08-05,Colgate Toothpaste 150g,BDY-COL-150,5,Body Care,55.00,72.00
2023-08-05,Palmolive Shampoo Sachet,BDY-PLM-01,7,Body Care,5.00,8.00
2023-08-05,Datu Puti Soy Sauce 385ml,CON-DTP-385,5,Condiments,18.00,25.00
2023-08-05,Bear Brand Powdered Milk 320g,DRY-BBM-320,4,Dairy,70.00,90.00
2023-08-05,Fresh Eggs Tray 30s,FRS-EGG-30,3,Fresh,210.00,260.00
2023-08-05,CDO Hotdog 1kg,FRS-HTD-1K,2,Fresh,180.00,230.00
2023-08-06,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,5,Pantry,60.00,75.00
2023-08-06,Lucky Me Pancit Canton,PNT-LMC-55G,12,Pantry,10.00,14.00
2023-08-06,Argentina Corned Beef 175g,CAN-ACB-175,5,Canned Goods,45.00,55.00
2023-08-06,Century Tuna Flakes in Oil,CAN-CTF-155,5,Canned Goods,38.00,48.00
2023-08-06,Nescafé 3-in-1 Original,BEV-N3N-01,6,Beverages,5.00,7.00
2023-08-06,San Miguel Pale Pilsen 330ml,BEV-SMB-330,9,Beverages,50.00,65.00
2023-08-06,Coca-Cola 1.5L,BEV-CCR-15L,6,Beverages,55.00,70.00
2023-08-06,Milo Powdered Drink 33g Sachet,BEV-MIL-33,10,Beverages,6.00,9.00
2023-08-06,Sky Flakes Crackers,SNK-SKF-01,3,Snacks,8.00,12.00
2023-08-06,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-06,Surf Detergent Powder 65g,HSH-SRF-65,7,Household,6.00,9.00
2023-08-06,Safeguard Soap 90g,BDY-SFG-90,3,Body Care,22.00,30.00
2023-08-06,Colgate Toothpaste 150g,BDY-COL-150,2,Body Care,55.00,72.00
2023-08-06,Palmolive Shampoo Sachet,BDY-PLM-01,7,Body Care,5.00,8.00
2023-08-06,Datu Puti Soy Sauce 385ml,CON-DTP-385,5,Condiments,18.00,25.00
2023-08-06,Bear Brand Powdered Milk 320g,DRY-BBM-320,3,Dairy,70.00,90.00
2023-08-06,Pandesal 10pcs,BKY-PDS-10,13,Bakery,45.00,60.00
2023-08-06,Fresh Eggs Tray 30s,FRS-EGG-30,10,Fresh,210.00,260.00
2023-08-06,CDO Hotdog 1kg,FRS-HTD-1K,2,Fresh,180.00,230.00
2023-08-07,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,2,Pantry,60.00,75.00
2023-08-07,Lucky Me Pancit Canton,PNT-LMC-55G,17,Pantry,10.00,14.00
2023-08-07,Argentina Corned Beef 175g,CAN-ACB-175,3,Canned Goods,45.00,55.00
2023-08-07,Century Tuna Flakes in Oil,CAN-CTF-155,5,Canned Goods,38.00,48.00
2023-08-07,Nescafé 3-in-1 Original,BEV-N3N-01,13,Beverages,5.00,7.00
2023-08-07,San Miguel Pale Pilsen 330ml,BEV-SMB-330,9,Beverages,50.00,65.00
2023-08-07,Coca-Cola 1.5L,BEV-CCR-15L,3,Beverages,55.00,70.00
2023-08-07,Milo Powdered Drink 33g Sachet,BEV-MIL-33,10,Beverages,6.00,9.00
2023-08-07,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,12,Beverages,6.00,9.00
2023-08-07,Sky Flakes Crackers,SNK-SKF-01,9,Snacks,8.00,12.00
2023-08-07,Chippy Barbecue 110g,SNK-CHP-110,7,Snacks,12.00,18.00
2023-08-07,Surf Detergent Powder 65g,HSH-SRF-65,4,Household,6.00,9.00
2023-08-07,Safeguard Soap 90g,BDY-SFG-90,4,Body Care,22.00,30.00
2023-08-07,Palmolive Shampoo Sachet,BDY-PLM-01,5,Body Care,5.00,8.00
2023-08-07,Datu Puti Soy Sauce 385ml,CON-DTP-385,4,Condiments,18.00,25.00
2023-08-07,Bear Brand Powdered Milk 320g,DRY-BBM-320,4,Dairy,70.00,90.00
2023-08-07,Pandesal 10pcs,BKY-PDS-10,9,Bakery,45.00,60.00
2023-08-07,Fresh Eggs Tray 30s,FRS-EGG-30,3,Fresh,210.00,260.00
2023-08-07,CDO Hotdog 1kg,FRS-HTD-1K,4,Fresh,180.00,230.00
2023-08-08,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,1,Pantry,60.00,75.00
2023-08-08,Lucky Me Pancit Canton,PNT-LMC-55G,16,Pantry,10.00,14.00
2023-08-08,Argentina Corned Beef 175g,CAN-ACB-175,4,Canned Goods,45.00,55.00
2023-08-08,Century Tuna Flakes in Oil,CAN-CTF-155,1,Canned Goods,38.00,48.00
2023-08-08,Nescafé 3-in-1 Original,BEV-N3N-01,6,Beverages,5.00,7.00
2023-08-08,San Miguel Pale Pilsen 330ml,BEV-SMB-330,4,Beverages,50.00,65.00
2023-08-08,Coca-Cola 1.5L,BEV-CCR-15L,2,Beverages,55.00,70.00
2023-08-08,Milo Powdered Drink 33g Sachet,BEV-MIL-33,11,Beverages,6.00,9.00
2023-08-08,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,9,Beverages,6.00,9.00
2023-08-08,Sky Flakes Crackers,SNK-SKF-01,5,Snacks,8.00,12.00
2023-08-08,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-08,Surf Detergent Powder 65g,HSH-SRF-65,2,Household,6.00,9.00
2023-08-08,Safeguard Soap 90g,BDY-SFG-90,6,Body Care,22.00,30.00
2023-08-08,Colgate Toothpaste 150g,BDY-COL-150,6,Body Care,55.00,72.00
2023-08-08,Palmolive Shampoo Sachet,BDY-PLM-01,5,Body Care,5.00,8.00
2023-08-08,Datu Puti Soy Sauce 385ml,CON-DTP-385,4,Condiments,18.00,25.00
2023-08-08,Bear Brand Powdered Milk 320g,DRY-BBM-320,6,Dairy,70.00,90.00
2023-08-08,Pandesal 10pcs,BKY-PDS-10,13,Bakery,45.00,60.00
2023-08-08,Fresh Eggs Tray 30s,FRS-EGG-30,4,Fresh,210.00,260.00
2023-08-08,CDO Hotdog 1kg,FRS-HTD-1K,3,Fresh,180.00,230.00
2023-08-09,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,2,Pantry,60.00,75.00
2023-08-09,Lucky Me Pancit Canton,PNT-LMC-55G,14,Pantry,10.00,14.00
2023-08-09,Argentina Corned Beef 175g,CAN-ACB-175,7,Canned Goods,45.00,55.00
2023-08-09,Century Tuna Flakes in Oil,CAN-CTF-155,3,Canned Goods,38.00,48.00
2023-08-09,Nescafé 3-in-1 Original,BEV-N3N-01,8,Beverages,5.00,7.00
2023-08-09,San Miguel Pale Pilsen 330ml,BEV-SMB-330,1,Beverages,50.00,65.00
2023-08-09,Coca-Cola 1.5L,BEV-CCR-15L,6,Beverages,55.00,70.00
2023-08-09,Milo Powdered Drink 33g Sachet,BEV-MIL-33,11,Beverages,6.00,9.00
2023-08-09,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,7,Beverages,6.00,9.00
2023-08-09,Sky Flakes Crackers,SNK-SKF-01,3,Snacks,8.00,12.00
2023-08-09,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-09,Surf Detergent Powder 65g,HSH-SRF-65,7,Household,6.00,9.00
2023-08-09,Safeguard Soap 90g,BDY-SFG-90,4,Body Care,22.00,30.00
2023-08-09,Colgate Toothpaste 150g,BDY-COL-150,5,Body Care,55.00,72.00
2023-08-09,Palmolive Shampoo Sachet,BDY-PLM-01,10,Body Care,5.00,8.00
2023-08-09,Datu Puti Soy Sauce 385ml,CON-DTP-385,5,Condiments,18.00,25.00
2023-08-09,Bear Brand Powdered Milk 320g,DRY-BBM-320,3,Dairy,70.00,90.00
2023-08-09,Pandesal 10pcs,BKY-PDS-10,11,Bakery,45.00,60.00
2023-08-09,Fresh Eggs Tray 30s,FRS-EGG-30,10,Fresh,210.00,260.00
2023-08-09,CDO Hotdog 1kg,FRS-HTD-1K,4,Fresh,180.00,230.00
2023-08-10,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,3,Pantry,60.00,75.00
2023-08-10,Lucky Me Pancit Canton,PNT-LMC-55G,13,Pantry,10.00,14.00
2023-08-10,Argentina Corned Beef 175g,CAN-ACB-175,2,Canned Goods,45.00,55.00
2023-08-10,Century Tuna Flakes in Oil,CAN-CTF-155,1,Canned Goods,38.00,48.00
2023-08-10,Nescafé 3-in-1 Original,BEV-N3N-01,7,Beverages,5.00,7.00
2023-08-10,San Miguel Pale Pilsen 330ml,BEV-SMB-330,7,Beverages,50.00,65.00
2023-08-10,Coca-Cola 1.5L,BEV-CCR-15L,4,Beverages,55.00,70.00
31/1/24,Milo Powdered Drink 33g Sachet,BEV-MIL-33,4,Beverages,6.00,9.00
2023-08-10,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,11,Beverages,6.00,9.00
2023-08-10,Sky Flakes Crackers,SNK-SKF-01,5,Snacks,8.00,12.00
2023-08-10,Chippy Barbecue 110g,SNK-CHP-110,11,Snacks,12.00,18.00
2023-08-10,Surf Detergent Powder 65g,HSH-SRF-65,2,Household,6.00,9.00
2023-08-10,Safeguard Soap 90g,BDY-SFG-90,7,Body Care,22.00,30.00
2023-08-10,Colgate Toothpaste 150g,BDY-COL-150,2,Body Care,55.00,72.00
2023-08-10,Palmolive Shampoo Sachet,BDY-PLM-01,7,Body Care,5.00,8.00
2023-08-10,Datu Puti Soy Sauce 385ml,CON-DTP-385,7,Condiments,18.00,25.00
2023-08-10,Bear Brand Powdered Milk 320g,DRY-BBM-320,10,Dairy,70.00,90.00
2023-08-10,Pandesal 10pcs,BKY-PDS-10,13,Bakery,45.00,60.00
2023-08-10,Fresh Eggs Tray 30s,FRS-EGG-30,5,Fresh,210.00,260.00
2023-08-10,CDO Hotdog 1kg,FRS-HTD-1K,6,Fresh,180.00,230.00
2023-08-11,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,9,Pantry,60.00,75.00
2023-08-11,Lucky Me Pancit Canton,PNT-LMC-55G,16,Pantry,10.00,14.00
2023-08-11,Argentina Corned Beef 175g,CAN-ACB-175,6,Canned Goods,45.00,55.00
2023-08-11,Century Tuna Flakes in Oil,CAN-CTF-155,6,Canned Goods,38.00,48.00
2023-08-11,Nescafé 3-in-1 Original,BEV-N3N-01,9,Beverages,5.00,7.00
2023-08-11,San Miguel Pale Pilsen 330ml,BEV-SMB-330,2,Beverages,50.00,65.00
2023-08-11,Coca-Cola 1.5L,BEV-CCR-15L,7,Beverages,55.00,70.00
2023-08-11,Milo Powdered Drink 33g Sachet,BEV-MIL-33,13,Beverages,6.00,9.00
2023-08-11,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,6,Beverages,6.00,9.00
2023-08-11,Sky Flakes Crackers,SNK-SKF-01,7,Snacks,8.00,12.00
2023-08-11,Chippy Barbecue 110g,SNK-CHP-110,8,Snacks,12.00,18.00
2023-08-11,Surf Detergent Powder 65g,HSH-SRF-65,6,Household,6.00,9.00
2023-08-11,Safeguard Soap 90g,BDY-SFG-90,3,Body Care,22.00,30.00
2023-08-11,Colgate Toothpaste 150g,BDY-COL-150,5,Body Care,55.00,72.00
2023-08-11,Palmolive Shampoo Sachet,BDY-PLM-01,6,Body Care,5.00,8.00
2023-08-11,Datu Puti Soy Sauce 385ml,CON-DTP-385,2,Condiments,18.00,25.00
2023-08-11,Bear Brand Powdered Milk 320g,DRY-BBM-320,3,Dairy,70.00,90.00
2023-08-11,Pandesal 10pcs,BKY-PDS-10,11,Bakery,45.00,60.00
2023-08-11,Fresh Eggs Tray 30s,FRS-EGG-30,4,Fresh,210.00,260.00
2023-08-11,CDO Hotdog 1kg,FRS-HTD-1K,9,Fresh,180.00,230.00
2023-08-12,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,9,Pantry,60.00,75.00
2023-08-12,Lucky Me Pancit Canton,PNT-LMC-55G,35,Pantry,10.00,14.00
2023-08-12,Argentina Corned Beef 175g,CAN-ACB-175,4,Canned Goods,45.00,55.00
2023-08-12,Century Tuna Flakes in Oil,CAN-CTF-155,8,Canned Goods,38.00,48.00
2023-08-12,Nescafé 3-in-1 Original,BEV-N3N-01,9,Beverages,5.00,7.00
2023-08-12,San Miguel Pale Pilsen 330ml,BEV-SMB-330,9,Beverages,50.00,65.00
2023-08-12,Coca-Cola 1.5L,BEV-CCR-15L,5,Beverages,55.00,70.00
2023-08-12,Milo Powdered Drink 33g Sachet,BEV-MIL-33,8,Beverages,6.00,9.00
2023-08-12,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,12,Beverages,6.00,9.00
2023-08-12,Sky Flakes Crackers,SNK-SKF-01,7,Snacks,8.00,12.00
2023-08-12,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-12,Surf Detergent Powder 65g,HSH-SRF-65,7,Household,6.00,9.00
2023-08-12,Safeguard Soap 90g,BDY-SFG-90,6,Body Care,22.00,30.00
2023-08-12,Colgate Toothpaste 150g,BDY-COL-150,3,Body Care,55.00,72.00
2023-08-12,Palmolive Shampoo Sachet,BDY-PLM-01,15,Body Care,5.00,8.00
2023-08-12,Datu Puti Soy Sauce 385ml,CON-DTP-385,2,Condiments,18.00,25.00
2023-08-12,Bear Brand Powdered Milk 320g,DRY-BBM-320,6,Dairy,70.00,90.00
2023-08-12,Pandesal 10pcs,BKY-PDS-10,19,Bakery,45.00,60.00
2023-08-12,Fresh Eggs Tray 30s,FRS-EGG-30,4,Fresh,210.00,260.00
2023-08-12,CDO Hotdog 1kg,FRS-HTD-1K,3,Fresh,180.00,230.00
2023-08-13,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,5,Pantry,60.00,75.00
2023-08-13,Lucky Me Pancit Canton,PNT-LMC-55G,10,Pantry,10.00,14.00
2023-08-13,Argentina Corned Beef 175g,CAN-ACB-175,4,Canned Goods,45.00,55.00
2023-08-13,Century Tuna Flakes in Oil,CAN-CTF-155,2,Canned Goods,38.00,48.00
2023-08-13,Nescafé 3-in-1 Original,BEV-N3N-01,5,Beverages,5.00,7.00
2023-08-13,San Miguel Pale Pilsen 330ml,BEV-SMB-330,7,Beverages,50.00,65.00
2023-08-13,Milo Powdered Drink 33g Sachet,BEV-MIL-33,9,Beverages,6.00,9.00
2023-08-13,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,9,Beverages,6.00,9.00
2023-08-13,Sky Flakes Crackers,SNK-SKF-01,8,Snacks,8.00,12.00
2023-08-13,Chippy Barbecue 110g,SNK-CHP-110,8,Snacks,12.00,18.00
2023-08-13,Surf Detergent Powder 65g,HSH-SRF-65,1,Household,6.00,9.00
2023-08-13,Safeguard Soap 90g,BDY-SFG-90,5,Body Care,22.00,30.00
2023-08-13,Colgate Toothpaste 150g,BDY-COL-150,4,Body Care,55.00,72.00
2023-08-13,Palmolive Shampoo Sachet,BDY-PLM-01,7,Body Care,5.00,8.00
2023-08-13,Datu Puti Soy Sauce 385ml,CON-DTP-385,3,Condiments,18.00,25.00
2023-08-13,Bear Brand Powdered Milk 320g,DRY-BBM-320,3,Dairy,70.00,90.00
2023-08-13,Pandesal 10pcs,BKY-PDS-10,6,Bakery,45.00,60.00
2023-08-13,Fresh Eggs Tray 30s,FRS-EGG-30,3,Fresh,210.00,260.00
2023-08-13,CDO Hotdog 1kg,FRS-HTD-1K,3,Fresh,180.00,230.00
2023-08-14,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,7,Pantry,60.00,75.00
2023-08-14,Lucky Me Pancit Canton,PNT-LMC-55G,13,Pantry,10.00,14.00
2023-08-14,Argentina Corned Beef 175g,CAN-ACB-175,4,Canned Goods,45.00,55.00
2023-08-14,Century Tuna Flakes in Oil,CAN-CTF-155,1,Canned Goods,38.00,48.00
2023-08-14,Nescafé 3-in-1 Original,BEV-N3N-01,3,Beverages,5.00,7.00
2023-08-14,San Miguel Pale Pilsen 330ml,BEV-SMB-330,4,Beverages,50.00,65.00
2023-08-14,Coca-Cola 1.5L,BEV-CCR-15L,7,Beverages,55.00,70.00
2023-08-14,Milo Powdered Drink 33g Sachet,BEV-MIL-33,10,Beverages,6.00,9.00
2023-08-14,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,8,Beverages,6.00,9.00
2023-08-14,Sky Flakes Crackers,SNK-SKF-01,6,Snacks,8.00,12.00
2023-08-14,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-14,Surf Detergent Powder 65g,HSH-SRF-65,2,Household,6.00,9.00
2023-08-14,Safeguard Soap 90g,BDY-SFG-90,6,Body Care,22.00,30.00
2023-08-14,Colgate Toothpaste 150g,BDY-COL-150,2,Body Care,55.00,72.00
2023-08-14,Palmolive Shampoo Sachet,BDY-PLM-01,6,Body Care,5.00,8.00
2023-08-14,Datu Puti Soy Sauce 385ml,CON-DTP-385,2,Condiments,18.00,25.00
2023-08-14,Bear Brand Powdered Milk 320g,DRY-BBM-320,2,Dairy,70.00,90.00
2023-08-14,Pandesal 10pcs,BKY-PDS-10,14,Bakery,45.00,60.00
2023-08-14,Fresh Eggs Tray 30s,FRS-EGG-30,7,Fresh,210.00,260.00
2023-08-14,CDO Hotdog 1kg,FRS-HTD-1K,3,Fresh,180.00,230.00
2023-08-15,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,5,Pantry,60.00,75.00
2023-08-15,Lucky Me Pancit Canton,PNT-LMC-55G,10,Pantry,10.00,14.00
2023-08-15,Argentina Corned Beef 175g,CAN-ACB-175,4,Canned Goods,45.00,55.00
2023-08-15,Century Tuna Flakes in Oil,CAN-CTF-155,8,Canned Goods,38.00,48.00
2023-08-15,Nescafé 3-in-1 Original,BEV-N3N-01,11,Beverages,5.00,7.00
2023-08-15,San Miguel Pale Pilsen 330ml,BEV-SMB-330,7,Beverages,50.00,65.00
2023-08-15,Coca-Cola 1.5L,BEV-CCR-15L,7,Beverages,55.00,70.00
2023-08-15,Milo Powdered Drink 33g Sachet,BEV-MIL-33,5,Beverages,6.00,9.00
2023-08-15,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,10,Beverages,6.00,9.00
2023-08-15,Sky Flakes Crackers,SNK-SKF-01,4,Snacks,8.00,12.00
2023-08-15,Chippy Barbecue 110g,SNK-CHP-110,4,Snacks,12.00,18.00
2023-08-15,Surf Detergent Powder 65g,HSH-SRF-65,4,Household,6.00,9.00
2023-08-15,Safeguard Soap 90g,BDY-SFG-90,2,Body Care,22.00,30.00
2023-08-15,Colgate Toothpaste 150g,BDY-COL-150,2,Body Care,55.00,72.00
2023-08-15,Palmolive Shampoo Sachet,BDY-PLM-01,3,Body Care,5.00,8.00
2023-08-15,Datu Puti Soy Sauce 385ml,CON-DTP-385,5,Condiments,18.00,25.00
2023-08-15,Bear Brand Powdered Milk 320g,DRY-BBM-320,3,Dairy,70.00,90.00
2023-08-15,Pandesal 10pcs,BKY-PDS-10,13,Bakery,45.00,60.00
2023-08-15,Fresh Eggs Tray 30s,FRS-EGG-30,6,Fresh,210.00,260.00
2023-08-15,CDO Hotdog 1kg,FRS-HTD-1K,4,Fresh,180.00,230.00
2023-08-16,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,5,Pantry,60.00,75.00
